accuracy,macro_precision,macro_recall,macro_f1,feature_type,model_name
0.43154246100519933,0.41009592997640637,0.48368864379360965,0.4317717046163816,hybrid_text,logistic_regression
0.42980935875216636,0.4054165617713479,0.47504025450882553,0.42609169409245223,transcription,logistic_regression
0.28422876949740034,0.25801366999867237,0.28811994231696114,0.2579584940690361,entity_text,logistic_regression
0.2755632582322357,0.24983359636250488,0.26624372170546323,0.2561772292416751,hybrid_text,linear_svc
0.2738301559792028,0.24445467107995267,0.25874650465764865,0.2501191700353077,transcription,linear_svc
0.23743500866551126,0.20168854108536471,0.21682959542010408,0.20171391827869822,entity_text,linear_svc
0.25476603119584057,0.1772353604502465,0.18235229804343336,0.1774395046024578,hybrid_text,random_forest
0.25476603119584057,0.17058249544569548,0.18428362570194134,0.1754457298313673,transcription,random_forest
0.18024263431542462,0.12793559774616098,0.13317007902103287,0.12372386414757909,entity_text,random_forest
